CGPA,Attendance,Aptitude_Score,Coding_Score,Communication_Score,Number_of_Projects,Placed,Salary
8.31,91.9,64.9,50.1,86.4,0,0,0
5.07,69.1,35.9,40.0,44.7,1,0,0
9.13,87.0,60.2,53.4,74.1,4,0,0
8.23,63.2,61.0,57.7,48.4,0,0,0
6.4,79.7,81.3,29.9,100.0,5,1,420000
8.53,73.0,70.3,70.2,48.5,4,1,330000
8.03,68.4,49.0,62.2,68.6,1,0,0
7.75,76.3,73.3,49.9,49.9,3,1,330000
6.78,90.0,57.1,80.6,62.9,2,1,390000
8.86,69.4,64.6,62.8,76.0,5,1,460000
6.23,87.1,66.0,82.7,66.1,0,0,0
8.21,83.9,60.4,44.0,55.2,4,0,0
5.25,100.0,51.7,54.2,57.7,1,0,0
8.07,84.5,78.6,76.9,70.7,1,1,310000
7.43,72.0,43.6,42.0,35.5,1,0,0
7.17,89.1,57.4,89.7,73.2,0,1,330000
5.75,74.9,86.2,88.7,39.6,4,1,350000
7.21,91.1,44.0,100.0,69.5,0,1,490000
8.03,70.9,83.9,72.6,78.0,4,1,430000
7.98,78.7,65.2,85.6,52.5,4,1,460000
7.72,92.0,49.6,66.6,99.1,2,0,0
7.12,78.5,71.6,57.7,71.7,2,0,0
7.13,75.1,67.7,67.0,86.4,4,1,370000
7.2,80.5,62.1,75.8,73.7,1,1,300000
9.38,71.9,49.4,39.2,84.4,4,1,310000
7.61,85.6,64.2,71.0,94.8,4,1,400000
7.49,67.0,63.1,70.0,61.3,2,0,0
6.1,80.0,68.7,62.8,58.0,2,0,0
8.35,81.2,51.4,24.7,67.4,5,0,0
8.18,68.2,65.8,47.6,53.9,2,0,0
8.16,92.1,53.4,42.6,81.7,2,1,270000
7.26,84.2,73.2,77.4,47.9,3,1,360000
8.09,68.4,52.5,64.9,52.3,3,1,470000
8.98,66.0,95.3,60.3,65.1,4,1,470000
6.2,92.8,47.1,36.0,75.4,2,0,0
5.78,85.9,94.2,97.2,61.4,1,1,400000
7.43,81.5,56.0,67.8,74.0,0,0,0
7.08,75.4,76.4,53.2,65.7,3,0,0
8.39,79.1,51.0,53.8,85.8,1,0,0
8.13,73.9,68.9,39.9,86.4,0,0,0
7.29,88.2,17.7,21.6,61.5,4,0,0
6.43,80.9,66.2,40.6,97.6,5,0,0
7.58,89.8,74.5,43.8,62.9,3,1,410000
6.16,89.7,83.1,9.2,65.9,4,0,0
8.55,78.1,88.4,82.8,96.7,0,1,560000
7.29,69.9,60.1,50.4,31.2,2,0,0
6.64,73.0,76.7,68.6,61.5,2,0,0
5.75,65.1,46.3,61.9,61.9,5,0,0
10.0,63.5,64.7,38.7,87.3,0,1,380000
5.77,85.3,68.8,56.5,73.6,2,0,0
6.69,83.2,45.7,75.9,74.0,4,1,390000
8.65,69.9,66.9,100.0,80.4,2,1,480000
5.78,83.7,78.5,46.7,65.6,0,0,0
6.47,83.3,46.7,45.1,59.9,2,0,0
7.87,89.4,54.0,61.5,52.4,5,1,320000
6.57,100.0,58.4,46.6,49.1,5,0,0
10.0,76.4,64.1,22.2,91.3,1,0,0
6.63,74.2,51.3,38.9,59.5,5,0,0
7.23,75.1,82.3,76.1,95.6,0,1,430000
5.79,72.2,75.6,69.0,69.9,1,0,0
8.06,60.1,53.2,77.6,68.7,3,1,350000
8.48,78.3,83.6,33.7,64.2,1,0,0
8.73,67.6,100.0,53.4,74.8,3,1,300000
8.98,81.1,43.5,68.4,60.7,5,1,290000
8.03,78.2,65.3,64.5,84.4,4,1,300000
7.58,83.6,79.7,20.8,65.1,1,0,0
7.82,80.8,72.5,59.7,71.8,3,1,350000
5.79,84.3,63.4,11.7,48.4,1,0,0
8.82,70.4,75.4,36.1,81.3,5,1,320000
6.61,87.9,93.1,48.0,88.5,4,1,520000
8.91,71.7,76.2,66.0,100.0,3,1,420000
8.19,83.8,39.4,19.1,82.8,1,0,0
7.69,73.4,74.2,37.7,46.5,1,0,0
7.18,85.0,65.9,59.1,75.3,1,0,0
5.42,75.5,88.2,85.6,79.6,1,1,360000
7.32,79.1,64.2,70.4,63.5,0,1,360000
5.44,82.6,57.8,59.2,33.8,0,0,0
7.13,58.3,58.1,45.8,67.7,3,0,0
8.23,71.4,83.4,79.8,39.9,2,1,490000
7.16,77.7,61.7,88.0,57.3,4,1,280000
6.2,77.9,59.6,54.4,61.2,5,0,0
8.59,71.2,75.6,44.1,81.8,3,1,250000
5.94,89.6,60.0,76.0,68.9,5,1,520000
7.9,78.3,68.3,52.3,90.2,1,1,410000
6.0,75.4,52.6,53.2,80.1,5,1,330000
8.67,76.2,69.2,56.7,67.0,0,1,370000
6.77,76.7,59.1,48.1,92.5,2,1,370000
8.23,85.3,67.4,80.9,46.2,4,1,420000
6.2,70.6,99.0,67.6,75.7,1,1,270000
7.2,96.8,77.3,51.2,73.5,5,1,290000
6.96,83.2,62.5,56.3,69.7,3,0,0
6.83,81.7,60.0,76.4,88.8,0,1,370000
8.62,93.9,70.9,62.5,55.2,4,1,390000
6.6,82.8,65.2,50.2,58.9,5,1,240000
6.28,73.2,61.2,73.2,75.0,1,0,0
7.24,86.5,72.5,71.7,69.1,5,1,400000
6.93,82.2,54.4,57.1,49.2,2,0,0
9.65,88.7,67.8,61.0,96.3,4,1,440000
6.4,84.4,57.1,47.2,37.7,1,0,0
8.03,66.8,81.6,20.9,94.6,1,1,310000
6.38,84.0,91.7,79.2,69.7,1,1,300000
9.01,86.5,55.3,57.5,72.3,5,1,270000
7.85,73.3,71.0,70.5,49.7,5,1,280000
10.0,91.2,53.4,43.9,51.8,5,1,360000
8.87,74.1,51.1,39.0,83.9,1,0,0
6.25,84.2,46.9,33.8,58.3,0,0,0
7.01,90.2,91.5,73.2,96.6,0,1,450000
6.43,72.1,46.5,65.9,78.3,3,0,0
8.81,73.0,72.7,85.2,32.3,3,1,400000
9.55,93.0,51.8,86.4,60.8,1,1,430000
6.53,50.4,44.7,55.9,48.0,3,0,0
6.58,84.9,43.4,39.6,66.7,0,0,0
6.39,76.5,64.6,99.1,89.9,1,1,380000
6.71,91.4,73.8,74.4,92.8,3,1,470000
8.8,91.4,81.5,73.0,61.7,1,1,350000
6.42,63.5,63.4,29.7,48.7,3,0,0
7.27,79.9,51.7,100.0,56.1,1,1,460000
7.6,85.4,90.6,78.0,90.7,5,1,580000
7.75,78.1,51.7,89.2,79.9,1,1,380000
8.28,93.9,42.1,29.5,69.2,2,0,0
7.11,73.4,53.5,65.6,69.8,4,0,0
7.71,100.0,72.0,17.7,77.8,4,1,310000
8.83,78.9,62.1,79.2,31.5,1,1,270000
7.71,74.8,65.0,88.6,83.4,0,1,280000
7.15,68.3,69.4,65.9,78.8,4,1,410000
8.27,88.6,75.0,55.3,56.7,0,1,370000
6.46,85.1,54.6,74.1,79.3,2,1,280000
9.58,71.9,49.4,31.4,78.0,3,1,340000
7.28,74.8,60.5,39.0,76.1,2,0,0
7.65,85.6,84.1,49.9,47.0,1,1,370000
7.38,83.0,41.7,77.2,63.0,3,1,340000
7.32,79.0,53.9,58.6,79.8,4,1,410000
6.56,90.4,73.6,87.4,56.0,4,1,450000
5.47,75.2,62.0,59.8,73.1,3,0,0
8.41,79.1,91.3,63.6,56.3,5,1,530000
8.76,88.0,65.3,49.3,61.8,5,1,380000
8.45,95.5,42.4,66.8,51.5,0,0,0
6.89,56.6,74.8,63.1,78.0,2,0,0
8.82,75.1,83.7,58.3,69.5,1,1,490000
6.96,99.4,85.9,68.6,66.1,3,1,420000
9.02,69.4,76.7,47.8,87.3,3,1,380000
6.06,93.2,64.3,68.3,55.8,1,1,370000
6.49,77.5,84.3,74.2,62.9,3,1,430000
8.15,89.4,42.2,70.5,87.6,3,1,320000
6.98,100.0,70.6,57.5,60.7,5,1,380000
6.23,57.7,77.8,81.4,70.8,0,0,0
7.65,94.3,41.3,97.2,78.5,3,1,420000
8.6,77.0,66.6,34.0,55.1,5,0,0
6.95,100.0,74.5,62.1,37.0,0,0,0
7.43,87.7,17.6,82.2,62.6,3,1,390000
7.7,85.1,73.3,65.5,58.2,5,0,0
10.0,74.1,53.4,32.6,58.2,2,0,0
8.63,67.3,84.2,47.4,74.8,0,0,0
9.62,78.3,66.5,83.3,57.5,3,1,350000
8.0,68.0,60.1,54.5,48.4,5,1,540000
6.28,81.4,48.5,74.1,79.2,0,1,250000
5.78,84.7,47.8,94.0,74.1,1,0,0
7.57,74.8,34.8,59.3,78.9,2,0,0
8.04,87.6,61.5,42.2,99.7,0,0,0
7.49,94.2,57.6,56.8,64.0,4,1,330000
6.48,69.6,57.0,54.1,47.1,2,0,0
8.35,69.2,66.6,55.7,90.6,4,1,350000
7.42,86.9,46.3,47.8,100.0,4,1,320000
6.76,100.0,38.0,63.9,65.0,0,0,0
7.24,74.6,50.5,71.3,65.5,5,1,420000
5.99,100.0,56.5,76.7,71.2,0,0,0
6.93,90.2,63.8,75.0,80.2,3,1,320000
8.32,72.2,96.5,50.0,83.6,5,0,0
6.72,95.7,47.0,60.3,57.1,0,0,0
8.51,85.4,54.3,63.9,65.9,2,1,340000
5.02,80.7,55.4,41.4,41.7,3,0,0
8.13,85.8,54.9,75.2,74.7,4,1,340000
8.02,91.9,80.9,70.6,71.1,4,1,330000
7.24,75.4,79.8,56.9,73.8,2,0,0
7.52,73.3,47.4,58.7,77.8,2,0,0
7.98,68.6,83.8,94.1,92.2,2,1,570000
9.42,100.0,64.2,43.2,55.5,4,1,390000
5.96,80.8,62.3,60.6,66.5,3,0,0
5.65,71.0,61.5,29.8,86.8,5,0,0
7.93,63.1,43.8,45.0,62.1,5,0,0
7.13,63.0,44.7,85.4,71.0,5,1,410000
7.68,81.2,61.7,70.6,64.4,4,1,250000
9.64,70.3,64.5,52.9,76.6,2,1,350000
8.87,79.9,38.1,95.0,52.1,4,1,450000
6.24,93.6,61.1,31.8,62.8,1,0,0
8.44,77.9,54.3,100.0,95.6,5,1,570000
8.0,95.1,59.3,76.9,94.4,2,1,410000
7.13,92.7,34.3,48.6,59.1,1,0,0
7.25,88.0,61.9,42.0,59.2,3,0,0
8.01,98.3,62.4,85.5,69.0,5,1,420000
6.74,76.1,56.1,38.4,66.8,3,0,0
6.84,89.9,61.6,50.1,100.0,1,0,0
5.16,92.9,77.3,44.2,82.1,2,1,400000
7.41,83.4,67.6,31.1,72.7,0,1,200000
8.14,76.8,71.9,51.6,100.0,3,0,0
7.68,73.8,64.8,19.4,69.0,2,0,0
6.98,78.0,77.2,58.3,88.7,3,1,340000
7.99,76.6,53.0,59.6,74.9,5,1,260000
6.61,82.0,74.6,90.1,74.9,1,1,380000
8.57,97.6,87.4,37.4,63.6,5,1,410000
10.0,96.0,30.2,66.6,84.7,3,1,410000
7.57,55.2,57.3,90.3,91.8,5,1,430000
7.65,94.8,56.4,62.5,56.7,5,0,0
7.73,64.8,42.1,23.6,62.9,1,0,0
6.19,81.5,79.5,58.6,60.1,4,0,0
8.22,62.3,66.7,29.9,48.2,4,0,0
5.73,85.1,82.1,72.1,87.5,4,1,430000
7.94,91.8,80.1,93.7,48.8,5,1,490000
7.05,77.8,37.8,57.6,52.8,3,0,0
6.09,75.0,59.0,44.8,81.4,0,0,0
7.46,66.9,78.2,65.2,100.0,0,1,440000
8.85,79.0,62.8,72.3,84.2,5,1,520000
6.74,71.7,79.7,59.1,92.3,3,0,0
10.0,92.5,70.7,52.4,74.8,4,1,380000
7.01,83.2,93.2,54.9,71.6,3,0,0
6.8,68.9,37.6,52.6,70.2,2,0,0
8.42,98.9,65.4,54.9,58.9,0,0,0
7.53,83.7,51.4,47.9,55.7,1,0,0
7.43,69.9,66.0,73.9,73.4,4,1,280000
8.38,79.7,82.0,46.9,47.2,2,0,0
7.7,100.0,83.1,57.8,59.7,4,1,340000
9.84,73.5,82.9,45.2,54.3,2,1,370000
9.17,74.6,67.9,42.9,62.6,3,1,320000
8.1,91.4,65.6,74.3,75.2,3,1,360000
8.83,73.4,83.8,54.9,77.4,1,1,470000
7.26,83.6,51.3,66.0,42.5,0,0,0
7.29,94.9,40.7,35.5,79.6,5,1,440000
7.1,73.8,73.4,100.0,59.2,1,1,470000
10.0,70.2,100.0,100.0,58.9,4,1,510000
7.15,70.4,65.9,77.6,66.5,5,1,350000
6.91,86.0,47.5,58.1,100.0,3,1,420000
7.58,71.2,68.8,76.6,98.7,5,1,360000
8.07,86.2,83.1,49.5,62.5,2,1,390000
7.7,92.9,65.5,85.3,82.8,3,1,350000
9.18,77.0,55.9,60.7,72.5,5,1,340000
6.77,78.2,100.0,21.0,87.6,0,0,0
9.18,75.0,66.4,39.5,76.0,5,1,400000
7.99,85.7,59.9,61.9,47.3,3,0,0
7.38,78.5,49.9,55.9,93.9,4,1,320000
7.72,79.7,73.7,32.4,81.4,0,0,0
8.77,74.0,66.2,87.8,69.8,3,1,460000
10.0,92.1,54.2,63.8,65.9,0,1,360000
6.15,63.7,65.4,51.2,56.2,0,0,0
6.28,68.2,90.2,79.2,61.7,0,0,0
9.62,66.2,69.1,100.0,63.1,2,1,470000
7.95,81.1,93.7,40.7,66.4,2,1,360000
8.31,80.7,82.2,89.2,84.9,2,1,380000
7.97,86.3,72.6,42.9,80.7,5,1,360000
9.79,100.0,62.1,36.7,74.9,3,1,360000
7.55,84.0,48.7,43.1,37.4,2,0,0
8.44,81.5,82.4,58.9,48.0,3,1,460000
8.13,92.2,46.2,83.5,66.8,0,1,410000
8.1,82.9,59.9,32.5,69.1,0,0,0
9.91,93.0,41.1,71.5,75.1,3,1,530000
6.05,84.0,62.1,62.5,66.0,4,1,330000
8.01,60.5,80.5,61.6,74.4,4,0,0
10.0,64.5,56.8,54.7,64.0,2,1,350000
7.42,85.6,71.0,73.9,61.9,2,1,460000
7.49,87.5,50.8,41.0,72.4,2,0,0
8.7,80.4,73.0,43.6,80.5,3,1,360000
8.45,61.8,73.0,58.3,54.4,1,1,330000
6.76,80.8,54.4,70.5,68.0,4,0,0
7.71,71.3,60.0,94.5,47.0,1,1,470000
6.24,73.1,57.1,37.0,86.0,5,0,0
8.04,97.3,67.8,53.4,85.4,5,1,320000
5.8,80.1,66.1,89.3,64.3,0,0,0
5.96,84.2,48.9,47.8,96.8,3,0,0
5.46,75.2,44.8,92.8,49.2,0,0,0
8.2,84.8,60.4,49.6,55.3,5,0,0
6.97,70.9,65.7,8.1,68.0,2,0,0
7.85,96.3,43.6,49.1,72.6,3,1,280000
7.72,66.8,51.2,59.9,77.0,3,1,340000
7.95,78.0,76.9,31.8,62.0,1,0,0
6.4,78.8,84.6,78.4,64.7,0,1,370000
7.72,75.4,77.6,36.5,66.0,5,0,0
7.53,86.2,75.3,81.6,80.5,3,1,430000
6.97,75.3,56.7,43.2,67.5,3,0,0
6.5,74.6,62.1,47.0,70.4,0,0,0
5.6,71.6,51.1,55.6,72.4,5,0,0
8.46,70.7,52.0,39.3,54.7,2,0,0
6.71,88.9,75.5,86.5,80.5,4,1,310000
8.05,82.7,74.5,71.5,79.4,4,1,530000
6.26,88.7,51.0,50.5,51.4,5,0,0
8.17,77.4,71.2,74.3,81.1,4,1,490000
8.57,83.1,73.1,60.7,85.4,4,0,0
6.8,71.6,41.4,61.6,61.5,4,0,0
9.49,83.3,61.9,75.5,61.1,3,1,420000
5.61,73.1,47.1,60.7,59.4,4,0,0
8.01,71.4,66.9,54.8,66.3,3,0,0
9.31,91.3,65.1,43.2,86.4,2,1,390000
7.83,76.8,70.0,52.5,73.9,5,1,290000
6.55,75.1,59.8,32.5,74.1,1,0,0
8.34,63.3,48.3,49.5,62.5,5,0,0
7.09,92.6,82.2,52.9,92.3,1,0,0
9.55,75.9,100.0,29.4,75.2,1,1,370000
7.5,95.8,77.0,30.2,62.2,4,0,0
6.36,69.6,60.8,65.6,77.1,3,0,0
6.54,79.2,78.3,52.5,82.7,0,0,0
9.08,65.8,98.5,89.6,54.6,0,1,450000
7.84,70.3,92.4,52.6,56.8,2,1,260000
6.67,91.2,49.2,50.7,57.4,0,0,0
9.11,84.0,66.4,56.9,77.9,3,1,360000
10.0,80.1,71.8,89.2,84.7,1,1,500000
9.23,65.5,76.8,70.5,89.3,5,1,380000
8.11,88.7,57.1,89.1,72.2,5,1,460000
8.19,83.9,82.8,72.6,53.8,0,1,380000
6.76,62.6,80.7,58.4,73.9,3,1,340000
9.34,89.6,76.4,71.6,65.5,1,1,440000
6.36,68.3,82.6,70.7,63.1,2,0,0
7.21,66.1,74.0,76.8,58.5,0,0,0
8.02,76.7,82.4,82.6,60.5,1,1,490000
7.52,94.4,65.2,87.1,67.8,5,1,430000
9.79,83.3,72.2,50.5,62.4,3,1,380000
7.39,83.2,94.9,30.2,62.7,3,0,0
7.2,77.1,66.8,58.0,61.6,3,1,220000
8.5,70.1,49.9,82.7,73.0,0,0,0
7.95,80.4,64.7,65.7,94.6,4,1,430000
7.07,95.4,66.7,39.1,52.5,4,1,300000
6.78,74.6,58.4,82.3,77.9,4,1,510000
6.76,91.8,66.8,31.1,62.0,3,0,0
7.21,60.8,71.0,63.0,54.9,4,1,380000
9.17,85.0,59.9,49.6,78.1,0,1,410000
9.03,100.0,39.1,55.0,68.3,1,0,0
7.5,59.7,64.2,50.0,81.0,3,0,0
7.44,83.6,60.4,34.5,84.6,2,0,0
9.73,86.8,69.4,70.1,74.6,5,1,270000
7.35,72.9,60.5,59.7,77.3,3,0,0
5.73,97.0,81.5,100.0,96.4,5,1,510000
7.43,69.6,58.2,78.7,67.8,0,0,0
6.95,77.8,62.7,54.2,73.0,0,1,360000
7.93,78.9,53.1,63.5,77.5,4,1,260000
6.39,82.6,58.2,93.9,69.3,2,1,350000
6.33,73.6,66.4,46.9,90.6,1,0,0
9.13,98.8,83.5,63.7,54.8,0,1,330000
7.56,79.8,49.0,27.5,69.0,4,0,0
8.75,78.9,100.0,47.0,77.6,0,1,370000
9.75,69.9,41.9,56.2,41.7,0,1,350000
6.26,74.2,55.2,44.8,65.5,5,0,0
8.36,78.4,64.1,77.4,77.3,5,1,310000
6.89,89.7,68.7,100.0,86.9,0,1,540000
7.9,85.0,50.0,64.3,32.2,1,0,0
6.22,83.3,68.9,53.0,74.5,5,0,0
7.39,77.3,71.9,44.7,79.5,2,1,390000
7.2,81.9,56.6,95.3,87.0,3,1,480000
6.08,75.6,70.8,65.2,72.1,0,0,0
9.15,55.1,84.0,87.3,55.3,5,1,530000
8.88,86.7,70.1,56.1,80.0,5,1,410000
6.91,81.8,88.3,38.9,67.8,3,1,270000
10.0,87.1,43.0,73.1,55.3,3,1,410000
7.89,86.2,69.7,75.0,73.0,4,1,350000
6.21,70.3,33.9,60.3,63.6,3,0,0
8.02,85.1,78.7,43.8,51.6,0,0,0
9.59,78.8,53.1,79.4,37.0,4,1,390000
7.09,87.2,85.0,64.4,96.9,2,1,400000
10.0,91.1,39.8,53.7,100.0,0,1,300000
7.51,87.4,39.0,52.6,67.9,1,0,0
4.46,67.0,38.2,90.2,79.3,1,0,0
5.68,70.1,54.3,18.1,92.9,4,0,0
6.08,75.0,81.9,100.0,82.9,2,1,430000
7.65,82.5,84.1,69.4,87.0,2,1,350000
8.2,76.7,81.3,83.2,95.2,2,1,450000
8.13,82.1,62.7,49.4,84.1,2,1,410000
8.63,77.6,79.1,52.8,80.2,1,1,450000
9.43,77.5,45.2,71.0,56.9,5,1,360000
9.31,77.0,88.8,44.8,73.3,1,1,440000
6.09,91.3,62.4,72.0,93.3,4,1,370000
4.5,100.0,68.8,58.9,43.0,4,0,0
7.78,92.7,72.6,55.7,69.7,2,1,250000
8.73,98.1,85.0,76.6,49.9,3,1,310000
8.32,80.5,60.1,42.6,75.5,0,0,0
6.03,90.7,95.6,52.0,55.4,4,1,350000
5.9,93.3,69.7,34.5,70.6,3,0,0
9.58,88.6,61.3,76.8,75.6,1,1,470000
8.04,76.2,96.9,81.7,83.5,4,1,390000
8.97,70.3,45.2,72.2,57.5,0,0,0
8.15,84.0,73.5,88.7,65.8,2,1,330000
6.96,72.9,77.3,71.3,53.4,0,0,0
6.69,88.1,58.9,88.3,61.9,0,1,330000
7.96,93.7,81.8,56.7,89.7,3,1,460000
5.74,81.0,80.8,73.6,82.4,2,1,440000
7.64,82.8,54.1,65.8,80.1,1,0,0
7.53,65.2,76.8,69.4,31.5,4,0,0
7.56,83.5,51.2,75.8,92.3,3,1,400000
6.71,76.8,60.5,79.1,72.4,4,1,230000
9.25,69.5,55.8,35.0,88.4,1,1,390000
8.19,78.1,67.3,72.7,75.8,5,1,440000
4.0,93.6,45.2,32.8,68.4,0,0,0
8.81,86.6,37.0,47.3,36.8,0,0,0
7.88,66.4,49.5,57.1,62.7,4,1,340000
4.8,67.2,70.7,65.6,74.9,4,0,0
9.3,66.0,63.1,89.1,54.7,1,1,380000
7.39,85.5,47.1,40.6,100.0,2,1,380000
7.36,77.0,53.3,62.5,60.5,2,1,360000
6.64,97.8,79.3,36.4,80.6,2,0,0
8.78,78.3,70.5,45.9,51.3,1,1,300000
5.02,87.9,50.6,72.7,55.6,0,0,0
6.8,79.4,58.3,82.0,89.3,4,1,390000
8.27,81.2,79.2,27.0,70.1,2,1,350000
7.23,72.3,72.9,38.8,64.9,0,0,0
7.57,91.6,29.0,76.9,51.3,2,1,300000
8.82,98.2,64.9,29.4,66.8,1,1,280000
8.77,66.2,67.4,73.8,71.6,5,1,390000
7.3,81.1,69.8,26.5,100.0,5,1,270000
8.5,95.9,68.4,87.0,92.2,5,1,410000
6.71,71.8,55.1,73.0,69.8,5,1,380000
5.84,78.2,63.4,58.8,100.0,2,0,0
6.01,74.9,60.4,89.7,56.5,2,1,380000
5.99,64.6,63.3,91.4,79.9,1,1,280000
6.62,79.2,92.7,73.8,75.6,2,1,270000
6.69,65.5,36.0,2.7,69.1,3,0,0
7.37,66.8,92.6,58.8,56.9,5,1,400000
5.45,76.2,83.6,43.5,41.0,5,0,0
8.04,75.6,71.4,66.0,68.5,1,1,510000
9.93,73.0,59.0,48.3,75.1,3,1,470000
7.76,71.3,64.2,76.7,80.0,5,1,350000
5.0,68.0,93.4,78.2,39.8,3,0,0
6.28,78.1,70.9,51.7,83.7,4,0,0
10.0,61.7,83.6,91.2,72.6,2,1,490000
6.99,75.4,64.0,58.5,66.3,1,1,420000
6.87,77.3,70.7,26.1,81.0,3,0,0
4.94,94.8,61.9,63.7,74.5,0,0,0
9.07,69.4,62.2,59.3,94.4,1,1,430000
7.12,71.4,75.2,74.3,62.3,0,1,270000
7.2,87.9,62.2,33.3,53.5,1,1,280000
6.08,98.0,58.9,70.0,100.0,3,1,330000
8.35,80.9,75.3,58.7,87.6,0,1,280000
6.34,90.8,94.8,69.5,69.3,0,1,380000
7.19,78.3,87.2,83.9,77.1,3,1,380000
6.4,88.6,56.5,61.8,62.9,2,0,0
7.01,82.2,44.2,56.4,65.2,0,0,0
5.84,79.0,59.6,94.3,49.4,2,1,260000
9.08,56.6,55.3,76.0,80.1,1,1,490000
6.98,69.4,65.2,63.2,76.2,4,1,280000
7.17,75.0,80.2,72.8,68.9,2,1,310000
6.68,71.3,76.6,57.8,96.1,0,1,350000
8.18,72.4,58.0,41.1,91.9,0,1,340000
8.15,80.3,56.9,45.7,99.5,2,0,0
7.88,76.9,68.8,48.3,38.8,2,1,360000
8.44,66.9,49.4,62.9,76.8,1,0,0
7.36,76.7,73.3,55.8,52.7,4,1,310000
7.17,74.3,54.7,72.9,92.4,5,1,460000
8.13,79.1,71.4,55.3,66.1,2,1,340000
